school_name,division,city_state,type,conference,athletics_domain,status,score,reason
Broward College Seahawks,NJCAA D1,"Fort Lauderdale, Florida",,,,NOT_FOUND,0,No candidate passed threshold
St. Johns River State College Vikings,NJCAA D1,"Palatka, Florida",,,,NOT_FOUND,0,No candidate passed threshold
Atlanta Metropolitan College Trailblazers,NJCAA D1,"Atlanta, Georgia",,,,NOT_FOUND,0,No candidate passed threshold
Mississippi Gulf Coast Community College Bulldogs,NJCAA D1,"Perkinston, Mississippi",,,,NOT_FOUND,0,No candidate passed threshold
Southwest Mississippi Community College Bears,NJCAA D1,"Summit, Mississippi",,,,NOT_FOUND,0,No candidate passed threshold
Western Nebraska Community College Cougars,NJCAA D1,"Scotts Bluff, Nebraska",,,,NOT_FOUND,0,No candidate passed threshold
Cleveland State Community College Cougars,NJCAA D1,"Cleveland, Tennessee",,,,NOT_FOUND,0,No candidate passed threshold
Ranger College Rangers,NJCAA D1,"Ranger, Texas",,,,NOT_FOUND,0,No candidate passed threshold
Utah State University Eastern Eagles,NJCAA D1,"Price, Utah",,,,NOT_FOUND,0,No candidate passed threshold
